StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,year,vegan,lactose_intolerant,DairyPro_1,DairyPro_2,DairyCon_1,DairyCon_2,DairyPic_1,DairyPic_2,PlantPro _1,PlantPro _2,PlantCon_1,PlantCon_2,PlantPic_1,PlantPic_2,Ethicalconsid._1,FL_4_DO,FL_5_DO,FL_6_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This study will collect insights about consumers' behaviors. The results will be used for SDS 290 Research Design and Analysis, but will not be shared outside of this context. Please read the following statement and choose either to consent or abstain from the study, ""I understand participation in this study is voluntary, and my response will be held anonymous. I agree to participate in this study, and allow the interviewer to use this data to better understand consumers' behaviors. Please select ""I consent,"" if you agree. Thank you in advance for your time.",Year at Smith,Are you vegan?,Are you lactose intolerant?,Statements about Dairy milk from Northwestern Medicine - How likely are you to buy this product?,"Statements about Dairy milk from Northwestern Medicine - On average, how many times a week do you drink this product?",Statements about Dairy Milk from Northwestern Medicine - How likely are you to buy this product?,"Statements about Dairy Milk from Northwestern Medicine - On average, how many times a week do you drink this product?",Figure: Dairy Milk - How likely are you to buy this product?,"Figure: Dairy Milk - On average, how many times a week do you drink this product?",Statements about Oatmilk from Northwestern Medicine - How likely are you to buy this product?,"Statements about Oatmilk from Northwestern Medicine - On average, how many times a week do you drink this product?",Statements about Oat milk from Northwestern Medicine - How likely are you to buy this product?,"Statements about Oat milk from Northwestern Medicine - On average, how many times a week do you drink this product?",Figure: Oat Milk - How likely are you to buy this product?,"Figure: Oat Milk - On average, how many times a week do you drink this product?",What is your opinion of the dairy industry? - 1 refers to no opinion,FL_4 - Block Randomizer - Display Order,FL_5 - Block Randomizer - Display Order,FL_6 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID15""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID11_1""}","{""ImportId"":""FL_4_DO""}","{""ImportId"":""FL_5_DO""}","{""ImportId"":""FL_6_DO""}"
4/20/23 10:54,4/20/23 10:54,IP Address,131.229.46.20,100,18,TRUE,4/20/23 10:54,R_zYXHBGjMIP9j3od,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,,,,,,,,,,,3,FL_5,DN,
4/20/23 11:39,4/20/23 11:40,IP Address,131.229.199.98,100,40,TRUE,4/20/23 11:40,R_1H1wGyh9Dd6tazP,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,Yes,,,,,,,3,,,,,,2,FL_6,,PP
4/20/23 12:40,4/20/23 12:58,IP Address,131.229.238.204,100,1081,TRUE,4/20/23 12:58,R_1ouLLf1max0tmya,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,4,4,,,,,,,,,,,4,FL_5,DP,
4/20/23 14:16,4/20/23 14:17,IP Address,131.229.239.71,100,34,TRUE,4/20/23 14:17,R_DGnFb4fHmRHmf7P,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,,,,,4,5,,,,,,,2,FL_5,DN,
4/20/23 14:33,4/20/23 14:34,IP Address,131.229.241.127,100,25,TRUE,4/20/23 14:34,R_3fkEkxzsQxGqWQ7,,,,,39.2124,-76.8776,anonymous,EN,I consent,Third Year,No,No,,,,,,,,,,,2,2,2,FL_6,,PN
4/20/23 14:55,4/20/23 14:56,IP Address,131.229.139.204,100,43,TRUE,4/20/23 14:56,R_W8wD9XyNYOJqj85,,,,,42.3182,-72.6419,anonymous,EN,I consent,Second Year,No,Yes,,,2,1,,,,,,,,,3,FL_5,DC,
4/21/23 11:48,4/21/23 11:48,IP Address,131.229.145.156,100,33,TRUE,4/21/23 11:48,R_3r0oq5dgVm2sOI7,,,,,42.3182,-72.6419,anonymous,EN,I consent,First Year,No,Yes,,,,,,,3,,,,,,,FL_6,,PP
4/21/23 13:12,4/21/23 13:13,IP Address,131.229.193.39,100,24,TRUE,4/21/23 13:13,R_1erUdDDFYp35q24,,,,,42.3182,-72.6419,anonymous,EN,I consent,Second Year,No,No,,,,,5,4,,,,,,,5,FL_5,DN,
4/21/23 21:02,4/21/23 21:02,IP Address,131.229.144.47,100,39,TRUE,4/21/23 21:02,R_3JxVXFUHLvrKCnH,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,,,,,,,,,,,4,1,3,FL_6,,PN
4/21/23 21:02,4/21/23 21:03,IP Address,131.229.195.149,100,84,TRUE,4/21/23 21:03,R_1oiP8vW41nL8eFX,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,Yes,1,1,,,,,,,,,,,3,FL_5,DP,
4/22/23 10:11,4/22/23 10:13,IP Address,131.229.194.87,100,79,TRUE,4/22/23 10:13,R_XzkKHcbs30eGwvL,,,,,42.3182,-72.6419,anonymous,EN,I consent,Second Year,No,No,,,1,3,,,,,,,,,4,FL_5,DC,
4/22/23 11:15,4/22/23 11:16,IP Address,131.229.150.191,100,43,TRUE,4/22/23 11:16,R_1It1jiB6dGPiqTE,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,,,,,,,,,1,1,,,3,FL_6,,PC
4/22/23 18:16,4/22/23 18:18,IP Address,131.229.43.52,100,72,TRUE,4/22/23 18:18,R_b9F4lmD5CHuzPdD,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,3,1,,,,,,,,,,FL_5,DC,
4/24/23 10:27,4/24/23 10:28,IP Address,131.229.141.190,100,55,TRUE,4/24/23 10:28,R_ZlTq7hc2oD38CIN,,,,,42.3182,-72.6419,anonymous,EN,I consent,First Year,No,No,,,,,,,,,,,,,2,FL_6,,PP
4/17/23 11:48,4/17/23 11:49,IP Address,131.229.157.110,91,40,FALSE,4/24/23 11:49,R_2R1urvD4ns2RX27,,,,,,,anonymous,EN,I consent,,Yes,Yes,,,,,,,,,,,,,,FL_5|FL_6,DN|DC|DP,PC|PN|PP
4/24/23 14:59,4/24/23 14:59,IP Address,131.229.147.165,100,29,TRUE,4/24/23 14:59,R_1k1ZIZ8OoK99fXg,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,1,1,,,,,,,,,,,4,FL_5,DP,
4/20/23 9:50,4/24/23 15:12,IP Address,71.192.31.161,100,364901,TRUE,4/24/23 15:12,R_1ik773T6uUs5s8P,,,,,42.3251,-72.6276,anonymous,EN,I consent,Other,No,No,,,,,,,,,4,1,,,2,FL_6,,PC
4/24/23 18:50,4/24/23 18:50,IP Address,131.229.238.184,100,32,TRUE,4/24/23 18:50,R_uaZ3ayc9nmnT2WR,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,,,,,2,1,,,,,,,3,FL_5,DN,
4/25/23 8:01,4/25/23 8:02,IP Address,104.28.39.129,100,24,TRUE,4/25/23 8:02,R_3PofyXplQu8VcGp,,,,,40.7123,-74.0068,anonymous,EN,I consent,Fourth year,No,No,,,,,,,,,,,1,,3,FL_6,,PN
4/25/23 8:20,4/25/23 8:20,IP Address,131.229.235.177,100,35,TRUE,4/25/23 8:20,R_2uxsrGzxiIerxup,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,,,,,,,,,3,3,2,FL_6,,PN
4/25/23 8:26,4/25/23 8:26,IP Address,131.229.144.51,100,43,TRUE,4/25/23 8:26,R_2pWV3fjq4ZxPazN,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,,,5,1,,,,,,,3,FL_5,DN,
4/25/23 8:49,4/25/23 8:50,IP Address,131.229.194.121,100,54,TRUE,4/25/23 8:50,R_3LgVvkNmeidDUNK,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,,,3,1,,,,,,,,,3,FL_5,DC,
4/25/23 8:56,4/25/23 8:57,IP Address,131.229.195.137,100,41,TRUE,4/25/23 8:57,R_3JKP42eOtAxWd1o,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,Yes,,,,,,,1,1,,,,,2,FL_6,,PP
4/25/23 8:58,4/25/23 8:59,IP Address,131.229.115.192,100,57,TRUE,4/25/23 8:59,R_3m1WJ5mTiVHPSAP,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,2,1,,,,,,,,,,,4,FL_5,DP,
4/25/23 8:59,4/25/23 9:00,IP Address,131.229.46.8,100,52,TRUE,4/25/23 9:00,R_3CH34nwfhMNoxmS,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,,,,,,,3,4,,,4,FL_6,,PC
4/25/23 9:00,4/25/23 9:00,IP Address,131.229.47.163,100,27,TRUE,4/25/23 9:00,R_2dRbJUiHLVd9RZm,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,Yes,,,,,,,3,2,,,,,2,FL_6,,PP
4/25/23 9:00,4/25/23 9:01,IP Address,131.229.159.157,100,53,TRUE,4/25/23 9:01,R_umnboD2plZ6o4b7,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,4,2,,,,,,,,,2,FL_5,DC,
4/25/23 9:00,4/25/23 9:01,IP Address,131.229.116.142,100,65,TRUE,4/25/23 9:01,R_1GHodjRxXLsovJ2,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,,,,,,,,,3,2,,,3,FL_6,,PC
4/25/23 9:00,4/25/23 9:01,IP Address,131.229.115.192,100,23,TRUE,4/25/23 9:01,R_AnUUezqWUId4AYV,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,,,3,2,,,,,,,3,FL_5,DN,
4/25/23 9:00,4/25/23 9:01,IP Address,131.229.239.217,100,37,TRUE,4/25/23 9:01,R_2rpjLrks0DgvbGq,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,1,1,,,,,,,,,,,1,FL_5,DP,
4/25/23 9:01,4/25/23 9:01,IP Address,131.229.47.70,100,38,TRUE,4/25/23 9:01,R_2eUVegLRhBz9mdJ,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,,,,,,,,,,,,1,2,FL_6,,PN
4/25/23 9:00,4/25/23 9:01,IP Address,131.229.110.92,100,77,TRUE,4/25/23 9:02,R_2vZ0eCXx2Zo2S5U,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,,,,,,,,,,,1,1,3,FL_6,,PN
4/25/23 9:02,4/25/23 9:03,IP Address,131.229.143.64,100,49,TRUE,4/25/23 9:03,R_3Hh1rGfT1nOkVB6,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,,,,,,,,,,,,,2,FL_5,DC,
4/25/23 9:02,4/25/23 9:04,IP Address,131.229.192.41,100,69,TRUE,4/25/23 9:04,R_a8BBePO4D1UEytj,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,,,,,,,,,4,5,,,4,FL_6,,PC
4/25/23 8:59,4/25/23 9:08,IP Address,131.229.105.247,100,534,TRUE,4/25/23 9:08,R_3IY9swx9qJZlAzh,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,Yes,,,,,2,,,,,,,,2,FL_5,DN,
4/25/23 9:07,4/25/23 9:08,IP Address,98.237.18.90,100,32,TRUE,4/25/23 9:08,R_270Vu98aFKVZs1v,,,,,40.0958,-77.0345,anonymous,EN,I consent,Other,No,No,,,,,,,,,,,,,3,FL_5,DN,
4/25/23 9:08,4/25/23 9:09,IP Address,131.229.238.49,100,32,TRUE,4/25/23 9:09,R_0JTFFHdjiTcpV6h,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,,,,,,,3,3,,,3,FL_6,,PC
4/25/23 10:05,4/25/23 10:06,IP Address,188.217.55.75,100,23,TRUE,4/25/23 10:06,R_2abiL3ZJqBOSK0r,,,,,43.7891,11.2356,anonymous,EN,I consent,Fourth year,No,No,,,,,,,,,,,,,3,FL_6,,PN
4/25/23 10:44,4/25/23 10:44,IP Address,131.229.237.123,100,27,TRUE,4/25/23 10:44,R_2dBnjcZ5O3n54Vv,,,,,42.3251,-72.6276,anonymous,EN,I consent,Third Year,No,Yes,1,1,,,,,,,,,,,1,FL_5,DP,
4/25/23 11:14,4/25/23 11:15,IP Address,131.229.242.105,100,46,TRUE,4/25/23 11:15,R_81jthmL86TOsvWp,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,,,,,4,2,,,,,2,FL_6,,PP
4/25/23 12:29,4/25/23 12:30,IP Address,131.229.143.174,100,68,TRUE,4/25/23 12:30,R_3CDZohNLOibFoWv,,,,,42.3182,-72.6419,anonymous,EN,I consent,Second Year,No,No,,,,,,,1,1,,,,,3,FL_6,,PP
4/25/23 14:05,4/25/23 14:06,IP Address,131.229.233.187,100,32,TRUE,4/25/23 14:06,R_2uQluXlsmUaXxIT,,,,,42.3182,-72.6419,anonymous,EN,I consent,Third Year,No,No,2,3,,,,,,,,,,,2,FL_5,DP,
4/25/23 15:40,4/25/23 15:41,IP Address,131.229.113.15,100,33,TRUE,4/25/23 15:41,R_rcmJz9O7ekA5pTP,,,,,42.3251,-72.6276,anonymous,EN,I consent,Third Year,No,No,,,,,2,1,,,,,,,4,FL_5,DN,
4/25/23 17:43,4/25/23 17:43,IP Address,131.229.148.31,100,18,TRUE,4/25/23 17:43,R_3hrRJLnRxauF0eD,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,Yes,,,,,,,,,,,4,3,2,FL_6,,PN
4/26/23 6:26,4/26/23 6:27,IP Address,131.229.238.205,100,51,TRUE,4/26/23 6:27,R_ZaEKQ2mnygXyyKR,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,2,1,,,,,,,,,3,FL_5,DC,
4/26/23 8:02,4/26/23 8:03,IP Address,131.229.139.179,100,29,TRUE,4/26/23 8:03,R_1IaOYIoaLDviiS7,,,,,42.3182,-72.6419,anonymous,EN,I consent,Fourth year,No,No,,,,,,,,,1,1,,,1,FL_6,,PC